Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-02-15 14:23:18.216 -0500,"Success",0:00:00,0,0,0,"20180215_142318.216/LogFile.txt","","",1
2018-02-15 14:24:47.811 -0500,"Success",0:00:00,0,0,0,"20180215_142447.811/LogFile.txt","","",1
2018-02-15 14:26:51.238 -0500,"Success",0:00:00,0,0,0,"20180215_142651.238/LogFile.txt","","",1
